type,depth,landuse,class
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (70/30),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/min (70/30),sedang",D0,Sawah tadah hujan (padi - palawija/bera),T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D0,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D0,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D0,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D0,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D0,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Saprists (100),sedang",D0,Sawah tadah hujan (padi - palawija/bera),T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Saprists (100),sedang",D0,Sawah tadah hujan (padi - palawija/bera),T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists (100),dalam",D3,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/min (90/10),sedang",D2,Hutan rawa,F
"Saprists/min (90/10),sedang",D2,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/min (90/10),sedang",D2,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/min (90/10),sedang",D2,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists (100),dalam",D3,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Saprists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D0,"Sawah intensif (padi - palawija/bera),jeruk",F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D0,"Sawah intensif (padi - palawija/bera),jeruk",F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D0,"Sawah intensif (padi - palawija/bera),jeruk",F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (70/30),sedang",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (70/30),sedang",D2,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/min (30/70),dangkal",D0,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists (100),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Lahan hutan konsesi penebangan,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Lahan hutan konsesi penebangan,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),sedang",D0,Sawah pasang surut,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),sedang",D0,Sawah pasang surut,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/min (90/10),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (90/10),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/min (30/70),dangkal",D1,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D1,Sawah dan kelapa,F
"Hemists/min (90/10),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Hemists/Saprists (60/40),sedang",D1,Sawah dan kelapa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D1,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Hemists/Saprists (60/40),sedang",D1,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Hemists/Saprists (60/40),sedang",D1,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/Hemists (60/40),dalam",D3,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (30/70),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/Hemists (60/40),dalam",D3,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (30/70),sedang",D2,Belukar rawa,T
"Saprists/Hemists (60/40),dalam",D3,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (70/30),sedang",D2,Hutan rawa,T
"Hemists/min (30/70),dangkal",D0,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (30/70),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (70/30),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (70/30),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (70/30),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (70/30),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (30/70),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (70/30),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Belukar rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedan",D2,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan hutan konsesi penebangan,T
